,name,id,location,is_economy,media_type,daily_avg_vlm,rank
34,中国经济周刊,22604,北京,1.0,0,3.9375,0
21,中国能源网,20901,北京,0.0,1,3.6432748538011697,0
592,中国建设报,102210,北京,0.0,0,3.4166666666666665,0
986,工人日报,800,北京,0.0,0,2.6908212560386473,0
558,中国质量报,102540,北京,0.0,0,2.6850393700787403,0
614,中国电子报,100300,北京,0.0,0,2.6374269005847952,0
564,中国消费者报,102340,北京,0.0,0,2.4074074074074074,0
677,中化新网,290701,北京,0.0,1,2.371794871794872,0
561,中国有色金属报,100260,北京,0.0,0,2.2113821138211383,0
612,中国房地产报,100230,北京,1.0,0，2,2.1931818181818183,0
563,中国冶金报,102050,北京,0.0,0,2.0736842105263156,0
579,中国青年报,102570,北京,0.0,0,2.0251572327044025,0
582,中国煤炭报,102350,北京,0.0,0，2,1.9333333333333333,0
588,中国矿业报,102400,北京,0.0,0，2,1.9125,0
12,财经国家周刊,11402,北京,1.0,0，2,1.78125,0
2,新华每日电讯,10400,北京,0.0,0,1.7254901960784315,0
352,中国纺织报,290802,北京,0.0,0，2,1.5789473684210527,0
585,中国绿色时报,107000,北京,0.0,0,1.5714285714285714,0
122,美术报,90201,浙江,0.0,0，2，3,1.5,0
16,人民日报中央厨房,20007,北京,0.0,2,1.5,0
10,瞭望,11201,北京,0.0,0，2,1.425,0
5,金牛理财网,10103,北京,1.0,1,1.4,0
23,健康时报网,21001,北京,0.0,1,1.4,0
571,中国食品报,102580,北京,0.0,0,1.375,0
11,现代快报网,10901,,,1,1.3333333333333333,0
15,瞭望智库,11401,北京,1.0,1,1.3076923076923077,0
3,半月谈,10503,北京,0.0,0，2，4,1.296875,0
562,中国医药报,102100,北京,0.0,0,1.2916666666666667,0
600,中国黄金报,102610,北京,0.0,0,1.2727272727272727,0
616,中国电力报,102360,北京,0.0,0,1.2592592592592593,0
611,中国妇女报,102140,北京,0.0,0,1.25,0
17,中国汽车报,20800,北京,0.0,0，1,1.2,0
350,中国建材报,290601,北京,0.0,0，2，3,1.2,0
19,健康时报,21000,北京,0.0,0,1.1935483870967742,0
620,中国保险报,100190,北京,1.0,0,1.1875,0
557,中华工商时报,100130,北京,1.0,0,1.1851851851851851,0
20,中国汽车报网,20802,北京,0.0,1,1.1764705882352942,0
572,中国石化报,102390,北京,0.0,0,1.1666666666666667,0
591,中国交通报,100150,北京,0.0,0，2，4,1.1666666666666667,0
7,现代快报,10902,江苏,0.0,0，2，3,1.162162162162162,0
559,中国知识产权报,102380,北京,0.0,0,1.1166666666666667,0
606,中国工业报,102170,北京,1.0,0,1.0869565217391304,0
584,中国贸易报,100401,北京,1.0,0,1.0625,0
3,中国财富帮,10004,北京,0.0,2,1.0588235294117647,0
8,中国名牌,11000,,,0,1.0,0
23,生命时报,21401,北京,0.0,0，1,1.0,0
354,中国服饰报,291002,北京,0.0,0，2，3,1.0,0
566,中国铁道建筑报,102560,北京,0.0,0,1.0,0
567,中国税务报,100310,北京,1.0,0,1.0,0
568,中国水运报,102320,北京,0.0,0,1.0,0
569,中国水利报,100270,北京,0.0,0,1.0,0
580,中国气象报,102310,北京,0.0,0,1.0,0
602,中国航天报,107010,北京,0.0,0,1.0,0
603,中国航空报,102450,北京,0.0,0,1.0,0
607,中国工商报,102180,北京,1.0,0,1.0,0
610,中国改革报,102230,北京,1.0,0,1.0,0
652,通信产业报,101430,北京,0.0,0,1.0,0
674,人民铁道报,102790,北京,0.0,0,1.0,0
2,中国财富,10003,,,4,1.0,0
9,半月谈网,10501,北京,0.0,1,1.0,0
12,ZAKER,10903,,,4,1.0,0
195,中国新闻社,80003,北京,0.0,3,1.0,0
571,理财不二牛,220405,上海,1.0,2,1.0,0
572,镁刻地产,220406,上海,1.0,2,1.0,0
573,粉巷财经,220407,上海,1.0,2,1.0,0
574,每经影视,220408,上海,1.0,2,1.0,0
575,NBD汽车,220409,上海,1.0,2,1.0,0
884,东方财富,1,上海,1.0,1，4,2362.0307167235496,1
921,腾讯财经,31,广东,1.0,1,1149.7142857142858,1
885,智能写手,31,广东,0.0,4,1007.1025641025641,1
922,腾讯,31,广东,0.0,1,761.4162679425838,1
888,新浪,5,北京,0.0,1,725.625850340136,1
966,同花顺,76,浙江,1.0,1，2，3，4,659.2068965517242,1
886,格隆汇,3,广东,1.0,1,394.83673469387753,1
